Tue Apr 30 00:40:07 2024    profile_results.prof

         123280698 function calls (122838937 primitive calls) in 653.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    77889    0.162    0.000    1.887    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1569(from_array)
      159    0.035    0.000    1.887    0.012 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:2042(to_native_types)
      288    1.862    0.006    1.862    0.006 {method 'astype' of 'numpy.ndarray' objects}
    78027    0.329    0.000    1.678    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:463(sanitize_array)
    78081    0.336    0.000    1.578    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1931(new_block)
5792560/5792548    0.950    0.000    1.527    0.000 {built-in method builtins.isinstance}
    23/22    0.000    0.000    1.451    0.066 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:290(__getattr__)
    23/22    0.000    0.000    1.451    0.066 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:243(ensure_initialized)
    95097    0.141    0.000    1.380    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1121(take_nd)
     5440    0.018    0.000    1.326    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:345(print_status)
 22519666    1.312    0.000    1.312    0.000 {method 'append' of 'list' objects}
    77881    0.490    0.000    1.306    0.000 {method '_cuda_call' of '_dispatcher.Dispatcher' objects}
  1753640    0.790    0.000    1.248    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:4587(__getitem__)
       53    1.232    0.023    1.232    0.023 {pandas._libs.writers.write_csv_rows}
    31706    0.122    0.000    1.228    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:977(iget)
   389408    0.161    0.000    1.201    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3068(device_pointer)
        8    0.242    0.030    1.200    0.150 C:\Users\Nihal\anaconda3\lib\site-packages\scipy\sparse\_csc.py:157(nonzero)
    31764    0.038    0.000    1.200    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:573(__init__)
     5440    0.023    0.000    1.116    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:339(fp_write)
63817/63803    0.113    0.000    1.108    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    10890    0.008    0.000    1.094    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:125(inner)
   311524    0.617    0.000    1.088    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\args.py:56(to_device)
1987215/1576948    0.337    0.000    1.083    0.000 {built-in method builtins.len}
     5451    1.077    0.000    1.077    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    77881    0.171    0.000    1.075    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:928(__getitem__)
   389408    0.201    0.000    1.040    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\driver.py:3076(device_ctypes_pointer)
        1    0.023    0.023    1.037    1.037 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:469(nested_data_to_arrays)
    95107    0.080    0.000    1.022    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:54(take_nd)
        1    0.001    0.001    1.014    1.014 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:738(to_arrays)
    31721    0.018    0.000    0.981    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
    31717    0.973    0.000    0.973    0.000 {method 'argsort' of 'numpy.ndarray' objects}
   173081    0.325    0.000    0.942    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:5489(__setattr__)
       15    0.000    0.000    0.939    0.063 <__array_function__ internals>:177(argsort)
       15    0.000    0.000    0.939    0.063 C:\Users\Nihal\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1038(argsort)
    95107    0.221    0.000    0.926    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\array_algos\take.py:111(_take_nd_ndarray)
    35263    0.018    0.000    0.904    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:158(blknos)
    31755    0.475    0.000    0.887    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:224(_rebuild_blknos_and_blklocs)
    31694    0.254    0.000    0.869    0.000 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:343(<listcomp>)
    31694    0.253    0.000    0.842    0.000 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process - cuda.py:345(<listcomp>)
    31694    0.231    0.000    0.817    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\sorting.py:343(nargsort)
    77881    0.141    0.000    0.814    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:1034(_get_value)
    78027    0.191    0.000    0.811    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:673(_try_cast)
    78158    0.806    0.000    0.806    0.000 {built-in method numpy.array}
     5440    0.029    0.000    0.787    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1147(__str__)
    77901    0.073    0.000    0.742    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:242(__call__)
     5440    0.147    0.000    0.713    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:352(format_meter)
    63392    0.109    0.000    0.682    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:950(take)
        1    0.000    0.000    0.681    0.681 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:895(_finalize_columns_and_data)
        1    0.000    0.000    0.681    0.681 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:975(_convert_object_array)
        1    0.000    0.000    0.681    0.681 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:997(<listcomp>)
       60    0.000    0.000    0.681    0.011 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\construction.py:991(convert)
       74    0.680    0.009    0.681    0.009 {pandas._libs.lib.maybe_convert_objects}
        2    0.000    0.000    0.669    0.335 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:491(read_csv)
    77901    0.101    0.000    0.669    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\_config\config.py:114(_get_option)
        2    0.002    0.001    0.669    0.334 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:467(_read)
        2    0.000    0.000    0.653    0.327 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\readers.py:1045(read)
        1    0.000    0.000    0.640    0.640 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:685(_compile_for_args)
        1    0.000    0.000    0.638    0.638 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:905(compile)
     28/1    0.000    0.000    0.635    0.635 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.635    0.635 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:46(__init__)
   389408    0.314    0.000    0.629    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\cudadrv\devicearray.py:199(device_ctypes_pointer)
    95087    0.073    0.000    0.624    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:232(fill_value)
        5    0.000    0.000    0.623    0.125 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:837(__init__)
        4    0.000    0.000    0.620    0.155 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\groupby.py:594(__len__)
        4    0.000    0.000    0.620    0.155 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\groupby.py:603(groups)
        4    0.000    0.000    0.620    0.155 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:882(groups)
        4    0.000    0.000    0.620    0.155 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\grouper.py:675(groups)
        2    0.000    0.000    0.618    0.309 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:220(read)
    77893    0.322    0.000    0.607    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1483(maybe_infer_to_datetimelike)
        2    0.589    0.294    0.604    0.302 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
   219672    0.107    0.000    0.601    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\construction.py:369(extract_array)
        4    0.003    0.001    0.599    0.150 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5458(groupby)
        1    0.000    0.000    0.586    0.586 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\compiler.py:152(compile_cuda)
        1    0.000    0.000    0.585    0.585 C:\Users\Nihal\anaconda3\lib\site-packages\numba\core\compiler.py:725(compile_extra)
2922602/2922553    0.515    0.000    0.583    0.000 {built-in method builtins.getattr}
        4    0.015    0.004    0.578    0.145 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5481(<dictcomp>)
    78215    0.181    0.000    0.576    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\blocks.py:1890(get_block_type)
    31698    0.046    0.000    0.565    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\range.py:434(take)
110482/110438    0.157    0.000    0.543    0.000 C:\Users\Nihal\anaconda3\lib\contextlib.py:123(__exit__)
    16320    0.016    0.000    0.540    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:309(disp_len)
   109589    0.138    0.000    0.538    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
   311524    0.179    0.000    0.537    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\args.py:66(wrap_arg)
    95093    0.092    0.000    0.533    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:552(na_value_for_dtype)
    31698    0.036    0.000    0.533    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\groupby\ops.py:729(get_iterator)
