Tue Apr 30 23:32:51 2024    profile_results.prof

         381888991 function calls (379409861 primitive calls) in 5438.124 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27538    0.360    0.000   10.895    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1195(update)
   135779    0.188    0.000   10.484    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\torch\functional.py:995(_return_inverse)
    27546    0.169    0.000   10.282    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1322(refresh)
   814689    0.594    0.000   10.210    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\ndarray.py:184(from_dlpack)
  5348047    1.433    0.000    9.995    0.000 C:\Users\Nihal\anaconda3\lib\abc.py:117(__instancecheck__)
   678904    0.823    0.000    9.949    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:1389(get_etype_id)
    77881    0.081    0.000    9.795    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:538(__call__)
    27554    0.125    0.000    9.717    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1461(display)
    77881    0.232    0.000    9.715    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:674(call)
   814689    6.283    0.000    9.616    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:28(_from_dlpack)
   271600    1.117    0.000    9.320    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\container.py:21(__getitem__)
   135779    0.211    0.000    9.195    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:157(<dictcomp>)
   135779    0.619    0.000    8.984    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:149(_process_nodes)
   271558    0.580    0.000    8.969    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:486(predecessors)
   271558    0.871    0.000    8.865    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:922(subframe)
   407343    0.843    0.000    8.854    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:93(number_of_etypes)
   678901    1.612    0.000    8.821    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:38(tensor)
   950468    0.738    0.000    8.750    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:189(ctx)
  5348047    4.971    0.000    8.562    0.000 {built-in method _abc._abc_instancecheck}
    77881    0.500    0.000    8.304    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:301(launch)
  1765136    1.133    0.000    8.069    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\torch\utils\dlpack.py:49(from_dlpack)
    31700    0.045    0.000    7.700    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\util\_decorators.py:302(wrapper)
   135785    0.487    0.000    7.038    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:57(__init__)
   407337    0.831    0.000    7.027    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:185(min)
    31694    0.195    0.000    6.921    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:6216(sort_values)
  5974342    6.714    0.000    6.714    0.000 C:\Users\Nihal\anaconda3\lib\ctypes\__init__.py:509(cast)
   135785    1.560    0.000    6.415    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:126(_init)
 44257738    6.337    0.000    6.337    0.000 {method 'add' of 'set' objects}
  1765136    6.313    0.000    6.313    0.000 {built-in method torch._C._from_dlpack}
  1222128    4.240    0.000    6.227    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\object.py:28(_return_object)
   407337    6.197    0.000    6.197    0.000 {built-in method torch.min}
  2579825    2.387    0.000    6.153    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:113(_make_array)
   678901    5.948    0.000    5.948    0.000 {built-in method torch.as_tensor}
109661/109659    0.708    0.000    5.910    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:315(__init__)
    77882    0.175    0.000    5.740    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:1218(iterrows)
   135779    0.604    0.000    5.723    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\subgraph.py:160(<listcomp>)
  1765136    5.191    0.000    5.639    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:89(to_dlpack)
    27554    0.097    0.000    5.311    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:345(print_status)
  1765136    1.144    0.000    5.296    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:270(<lambda>)
  2579825    4.947    0.000    5.248    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:81(__del__)
   407343    0.380    0.000    5.070    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:74(metagraph)
271615/135806    0.789    0.000    4.708    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\object_generic.py:27(convert_to_object)
   678895    4.396    0.000    4.396    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
  1086238    2.032    0.000    4.368    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\torch\_tensor.py:996(__len__)
   135779    0.410    0.000    4.326    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:507(successors)
   389405    1.634    0.000    4.281    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\numba\cuda\dispatcher.py:373(_prepare_args)
    27554    0.164    0.000    4.261    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:1147(__str__)
    27554    0.113    0.000    4.197    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:339(fp_write)
    55124    0.050    0.000    4.086    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:125(inner)
        4    0.000    0.000    4.085    1.021 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\generic.py:3297(to_csv)
        4    0.000    0.000    4.085    1.021 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\format.py:1056(to_csv)
        4    0.000    0.000    4.083    1.021 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:232(save)
        4    0.000    0.000    4.077    1.019 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:259(_save)
        4    0.058    0.014    4.076    1.019 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:292(_save_body)
       62    0.002    0.000    4.018    0.065 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\io\formats\csvs.py:302(_save_chunk)
   135779    0.180    0.000    3.992    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph_index.py:1034(<listcomp>)
    27571    3.988    0.000    3.988    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   814689    3.883    0.000    3.883    0.000 {built-in method torch._C._to_dlpack}
    27554    0.842    0.000    3.835    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\std.py:352(format_meter)
   543128    1.262    0.000    3.829    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:588(__init__)
  1765136    2.158    0.000    3.819    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\ndarray.py:48(_dlpack_deleter)
   679027    0.549    0.000    3.785    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\container.py:45(__len__)
2993168/2990915    0.825    0.000    3.594    0.000 C:\Users\Nihal\anaconda3\lib\abc.py:121(__subclasscheck__)
   814686    1.332    0.000    3.409    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:210(__init__)
   678901    1.528    0.000    3.274    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:1960(ndata)
   271564    0.231    0.000    3.191    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:690(__setitem__)
 10590825    3.179    0.000    3.179    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\ndarray.py:209(<genexpr>)
   678895    2.090    0.000    3.072    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:136(copy_to)
   543128    0.481    0.000    3.002    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:472(create)
   678901    0.995    0.000    2.981    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\view.py:69(__getitem__)
   271564    0.482    0.000    2.960    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\frame.py:772(update_column)
   135803    0.111    0.000    2.941    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\object_generic.py:43(<listcomp>)
    31698    0.083    0.000    2.935    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:840(take)
    82662    0.092    0.000    2.861    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\tqdm\utils.py:309(disp_len)
   135779    0.206    0.000    2.853    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\pytorch\tensor.py:242(slice_axis)
