Sun Apr 28 19:45:48 2024    profile_results.prof

         1411520288 function calls (1401943756 primitive calls) in 5514.599 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8   10.551    1.319   55.864    6.983 C:\Users\Nihal\Downloads\antifraud-main\antifraud-main\feature_engineering\data_process.py:107(sparse_to_adjlist)
   407337    2.043    0.000   55.633    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\heterograph.py:2878(has_nodes)
  1199913   51.747    0.000   51.747    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
  3536351    5.258    0.000   49.951    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\frame.py:3860(_box_col_values)
  3536773    2.410    0.000   47.678    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:532(is_string_dtype)
3614306/3614304    6.998    0.000   45.469    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\series.py:315(__init__)
  3536773    2.013    0.000   45.269    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1519(_is_dtype)
  3536773    1.749    0.000   41.973    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:561(condition)
  3504761    2.149    0.000   40.224    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:564(is_excluded_dtype)
3541596/3541552    2.458    0.000   38.211    0.000 {built-in method builtins.any}
   950456    4.160    0.000   38.048    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\utils\checks.py:12(prepare_tensor)
        8   37.682    4.710   37.682    4.710 {built-in method _pickle.dump}
 14019044    3.641    0.000   35.628    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:569(<genexpr>)
  3549033    1.172    0.000   34.794    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:158(blknos)
  1200029   17.932    0.000   33.623    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\internals\managers.py:224(_rebuild_blknos_and_blklocs)
6789295/6517698   19.522    0.000   33.033    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\_ffi\_ctypes\function.py:103(_make_dgl_args)
  1765130    0.777    0.000   31.099    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\dgl\backend\__init__.py:145(from_dgl_nd)
  1199913    3.531    0.000   30.575    0.000 C:\Users\Nihal\anaconda3\lib\site-packages\pandas\core\indexes\range.py:434(take)
